control_id,control_title,target_id,target_title,basis,note
SOUL-HB-001,Safety Immutables Defined,Article 9,Risk management system,related,Declares safety rules that no instruction source can override; the article concerns adopting risk management measures for identified risks.
SOUL-HB-002,No Data Exfiltration,Article 15,"Accuracy, robustness and cybersecurity",related,Prohibits transmitting data to endpoints outside declared scope; the article concerns resilience against unauthorised alteration of use or outputs.
SOUL-HB-003,Kill Switch / Emergency Stop,Article 14,Human oversight,partially-addresses,Requires an emergency stop that halts execution when triggered; the article calls for the ability to interrupt a system through a stop procedure.
SOUL-HB-004,Behavior Integrity Verification,Article 15,"Accuracy, robustness and cybersecurity",related,"Requires an integrity check that safety rules remain intact; the article concerns robustness against errors, faults, and inconsistencies."
SOUL-HB-006,Tamper Detection Mechanism,Article 15,"Accuracy, robustness and cybersecurity",related,Requires detection of tampering with declared safety rules; the article concerns resilience against unauthorised attempts to alter the system.
SOUL-HB-007,Safety Behavior Audit,Article 12,Record-keeping,related,Requires an auditable record of adherence to safety rules; the article concerns recording of events that makes operation traceable.
SOUL-HB-008,Enforcement Resilience Under Pressure,Article 15,"Accuracy, robustness and cybersecurity",partially-addresses,Requires fail-safe enforcement that defaults to a safe state; the article calls for robustness measures including backup or fail-safe plans.
SOUL-HO-001,Approval Gates,Article 14,Human oversight,partially-addresses,Requires approval before defined categories of action; the article calls for oversight measures under which humans decide whether an action proceeds.
SOUL-HO-002,Override Mechanism,Article 14,Human oversight,partially-addresses,Requires that humans can halt or redirect the agent at any point; the article calls for the ability to intervene in or interrupt operation.
SOUL-HO-003,Monitoring/Logging,Article 12,Record-keeping,partially-addresses,Requires observable logs of actions and decisions; the article calls for automatic recording of events while the system operates.
SOUL-HO-003,Monitoring/Logging,Article 72,Post-market monitoring by providers and post-market monitoring plan for high-risk AI systems,related,Requires logging sufficient to reconstruct agent activity; the article concerns monitoring based on data collected from system use.
SOUL-HO-004,Approval Workflow And Escalation,Article 14,Human oversight,related,Requires a documented approval chain with escalation; the article concerns assigning oversight to persons with the necessary competence and authority.
SOUL-HO-005,Action Notification Protocol,Article 14,Human oversight,related,Requires notifying a human of consequential actions as they occur; the article concerns keeping overseers able to monitor operation.
SOUL-HO-006,Operator Identity Verification,Article 15,"Accuracy, robustness and cybersecurity",related,Requires verifying operator identity before privileged instructions; the article concerns resilience against unauthorised use or alteration.
SOUL-HO-007,Audit Log Retention And Access,Article 19,Automatically generated logs,related,Requires governed retention of and access to audit logs; the article concerns keeping automatically generated logs for a set period.
SOUL-HO-008,Escalation Triggers For Runaway Detection,Article 14,Human oversight,partially-addresses,Requires halting the agent when runaway behavior is detected; the article calls for overseers to detect anomalies and intervene.
SOUL-HT-002,No Fabrication Rule,Article 15,"Accuracy, robustness and cybersecurity",related,"Prohibits fabricated citations, endpoints, and statistics; the article concerns the level of accuracy of AI systems."
SOUL-HT-003,Identity Disclosure,Article 50,Transparency obligations for providers and deployers of certain AI systems,partially-addresses,Requires the agent to confirm its AI nature when asked; the article calls for informing natural persons that they interact with an AI system.
SOUL-HT-004,Knowledge Boundaries Documented,Article 13,Transparency and provision of information to deployers,related,Requires documenting the agent's knowledge boundary; the article concerns instructions for use that state a system's limitations.
SOUL-HT-005,Confidence Level Disclosure,Article 13,Transparency and provision of information to deployers,related,Requires expressed confidence to track actual reliability; the article concerns information on the level of accuracy provided to deployers.
SOUL-HT-006,Training Data Recency Disclosed,Article 13,Transparency and provision of information to deployers,related,Requires disclosure of training data recency; the article concerns information to deployers on system characteristics and limitations.
SOUL-HT-007,Limitations Acknowledged In Responses,Article 13,Transparency and provision of information to deployers,related,Requires attaching caveats where a response carries known constraints; the article concerns stating limitations in information to deployers.
SOUL-HV-001,Pre-Action Risk Assessment,Article 9,Risk management system,related,Requires weighing potential negative consequences before acting; the article concerns identification and evaluation of foreseeable risks.
SOUL-HV-002,Proportional Response,Article 9,Risk management system,related,Requires caution scaled to the stakes of the request; the article concerns risk management measures targeted at identified risks.
SOUL-HV-003,Unintended Impact Awareness,Article 9,Risk management system,related,Requires attention to downstream and cumulative effects; the article concerns evaluating risks that may emerge under foreseeable conditions of use.
SOUL-IH-001,Instruction Override Defense,Article 15,"Accuracy, robustness and cybersecurity",partially-addresses,Requires defenses against overriding declared instructions; the article calls for resilience against attempts by unauthorised parties to alter use or outputs.
SOUL-IH-002,Encoded Payload Defense,Article 15,"Accuracy, robustness and cybersecurity",related,Requires defenses against instructions hidden in encoded content; the article concerns robustness and cybersecurity of AI systems.
SOUL-IH-003,Role-Play Refusal,Article 15,"Accuracy, robustness and cybersecurity",related,Requires refusing personas that bypass declared constraints; the article concerns resilience against attempts to alter system use or outputs.
SOUL-IH-004,Input Validation And Sanitization,Article 15,"Accuracy, robustness and cybersecurity",related,Requires validating and sanitizing inputs before processing; the article concerns robustness and cybersecurity of AI systems.
SOUL-IH-005,Output Encoding And Escaping,Article 15,"Accuracy, robustness and cybersecurity",related,Requires encoding output before it is rendered; the article concerns robustness and cybersecurity of AI systems.
SOUL-IH-006,Multi-Layer Injection Defense,Article 15,"Accuracy, robustness and cybersecurity",related,Requires layered defenses against injection; the article concerns robustness and cybersecurity of AI systems.
SOUL-IH-007,Injection Detection And Alerting,Article 12,Record-keeping,related,Requires logging detected injection attempts; the article concerns automatic recording of events while the system operates.
SOUL-IH-008,Adversarial Input Testing,Article 15,"Accuracy, robustness and cybersecurity",related,"Requires adversarial testing of declared defenses; the article concerns accuracy, robustness, and cybersecurity of AI systems."
SOUL-TH-001,Trust Chain Defined,Article 14,Human oversight,related,Declares which human principals the agent obeys and in what order; the article concerns measures for natural persons to oversee AI systems in use.
SOUL-TH-004,Principal Identity Verification,Article 15,"Accuracy, robustness and cybersecurity",related,Requires authentication of principals before acting on instructions; the article concerns resilience against unauthorised attempts to alter use or outputs.
SOUL-TH-007,Trust Boundary Enforcement,Article 15,"Accuracy, robustness and cybersecurity",related,Requires checks that block actions crossing declared trust boundaries; the article concerns robustness and cybersecurity of AI systems.
SOUL-TH-008,Trust Policy Update Protocol,Article 17,Quality management system,related,Requires a documented change process for trust policy; the article concerns a quality management system with written policies and procedures.
